FILTER OPTIONS,FILTER OPTIONS,Time,session code,Presentations name,session title,title,authors,EasyChair,,,,,,Session Chairs TBD,COMMENTS
Parallel Paper Presentations,7/3/25,13:15 - 13:25,P-A2,Parallel Presentations 2,URBAN INFRASTRUCTURE & ENVIRONMENTAL SYSTEMS,"ENHANCING URBAN VITALITY THROUGH INTERACTIVE XR INSTALLATIONS: FOSTERING ENGAGEMENT AND ENVIRONMENTAL AWARENESS
","Xiaoxin Lu, Hanzhe Bao and Tiantian Lo",121,,,13:15 - 13:25,[ 121 ],"ENHANCING URBAN VITALITY THROUGH INTERACTIVE XR INSTALLATIONS: FOSTERING ENGAGEMENT AND ENVIRONMENTAL AWARENESS
By Xiaoxin Lu, Hanzhe Bao and Tiantian Lo",,
Parallel Paper Presentations,7/3/25,13:25 - 13:35,P-A2,Parallel Presentations 2,URBAN INFRASTRUCTURE & ENVIRONMENTAL SYSTEMS,"PERFORMANCE-BASED URBAN ENVIRONMENTAL RESTORATION: A MULTI-LAYER CELLULAR AUTOMATA MODEL FOR ECOLOGICAL DESIGN SIMULATION IN HIGH-DENSITY CITIES
",Yiming Liu and Christiane M. Herr,71,,,13:25 - 13:35,[ 71 ],"PERFORMANCE-BASED URBAN ENVIRONMENTAL RESTORATION: A MULTI-LAYER CELLULAR AUTOMATA MODEL FOR ECOLOGICAL DESIGN SIMULATION IN HIGH-DENSITY CITIES
By Yiming Liu and Christiane M. Herr",,
Parallel Paper Presentations,7/3/25,12:45 - 13:35,P-B2,Parallel Presentations 2,AI FOR DESIGN EVALUATION,,,,,,12:45 - 13:35,,AI FOR DESIGN EVALUATION,Immanuel Koh ✔,Hao Zheng (CityU) hazheng@cityu.edu.hk 
Parallel Paper Presentations,7/3/25,12:45 - 12:55,P-B2,Parallel Presentations 2,AI FOR DESIGN EVALUATION,"QUANTIFABLE AND UNQUANTIFABLE MACHINE LEARNING MODEL OR ARCHITECTURAL PREFERENCE PREDICTION BASED ON MBTI
","Xinhui Xu, Yulu Zhang, Wenxuan Wang, Tinghao Feng, Philip F. Yuan and Zhengcheng He",45,,,12:45 - 12:55,[ 45 ],"QUANTIFABLE AND UNQUANTIFABLE MACHINE LEARNING MODEL OR ARCHITECTURAL PREFERENCE PREDICTION BASED ON MBTI
By Xinhui Xu, Yulu Zhang, Wenxuan Wang, Tinghao Feng, Philip F. Yuan and Zhengcheng He",,
Parallel Paper Presentations,7/3/25,12:55 - 13:05,P-B2,Parallel Presentations 2,AI FOR DESIGN EVALUATION,"QUANTIFYING ARCHITECTURAL EXPERIENCE USING VLMS: DOES AI DREAM OF RENDERED SPACES?
","Gal Guz, Nikolas Martelaro, Gerhard Schubert and Jonathan Dortheimer",150,,,12:55 - 13:05,[ 150 ],"QUANTIFYING ARCHITECTURAL EXPERIENCE USING VLMS: DOES AI DREAM OF RENDERED SPACES?
By Gal Guz, Nikolas Martelaro, Gerhard Schubert and Jonathan Dortheimer",,VIDEO: Israel-Iran War
Parallel Paper Presentations,7/3/25,13:05 - 13:15,P-B2,Parallel Presentations 2,AI FOR DESIGN EVALUATION,"ZERO-SHOT ARCHITECTURAL STYLE CLASSIFICATION WITH LARGE LANGUAGE MODELS
","Lei Li, Yixin Hao and Runjia Tian",304,,,13:05 - 13:15,[ 304 ],"ZERO-SHOT ARCHITECTURAL STYLE CLASSIFICATION WITH LARGE LANGUAGE MODELS
By Lei Li, Yixin Hao and Runjia Tian",,
Parallel Paper Presentations,7/3/25,13:15 - 13:25,P-B2,Parallel Presentations 2,AI FOR DESIGN EVALUATION,"EVALUATION METHOD OF AI-GENERATED ARCHITECTURAL FACADE IMAGES BASED ON DCNN
","Li Zhang, Jiawei Wang, Zhicheng Wang, Yuetong Wu, Han Li, Qi Zhang and Bo Gao",456,,,13:15 - 13:25,[ 456 ],"EVALUATION METHOD OF AI-GENERATED ARCHITECTURAL FACADE IMAGES BASED ON DCNN
By Li Zhang, Jiawei Wang, Zhicheng Wang, Yuetong Wu, Han Li, Qi Zhang and Bo Gao",,
Parallel Paper Presentations,7/3/25,13:25 - 13:35,P-B2,Parallel Presentations 2,AI FOR DESIGN EVALUATION,"INTELLIGENT SPATIAL PLANNING: A MULTIDIMENSIONAL STUDY ON SWISS RESIDENTIAL DESIGN USING LARGE LANGUAGE MODEL (GPT-4)
","Dongming Xu, Weirun Lin, Xinyi Shen, Sherif Eltarabishy and Davis Adam",59,,,13:25 - 13:35,[ 59 ],"INTELLIGENT SPATIAL PLANNING: A MULTIDIMENSIONAL STUDY ON SWISS RESIDENTIAL DESIGN USING LARGE LANGUAGE MODEL (GPT-4)
By Dongming Xu, Weirun Lin, Xinyi Shen, Sherif Eltarabishy and Davis Adam",,
Parallel Paper Presentations,7/3/25,12:45 - 13:35,P-C2,Parallel Presentations 2,"STRUCTURAL, FABRICATION & MATERIAL LOGIC",,,,,,12:45 - 13:35,,"STRUCTURAL, FABRICATION & MATERIAL LOGIC",Juan Jose Castellon ✔,
Parallel Paper Presentations,7/3/25,12:45 - 12:55,P-C2,Parallel Presentations 2,"STRUCTURAL, FABRICATION & MATERIAL LOGIC","ADAPTIVE DESIGN AND FABRICATION OF MODULAR TOPOLOGICAL INTERLOCKING ASSEMBLIES
",Michail Georgiou and Odysseas Georgiou,34,,,12:45 - 12:55,[ 34 ],"ADAPTIVE DESIGN AND FABRICATION OF MODULAR TOPOLOGICAL INTERLOCKING ASSEMBLIES
By Michail Georgiou and Odysseas Georgiou",,
Parallel Paper Presentations,7/3/25,12:55 - 13:05,P-C2,Parallel Presentations 2,"STRUCTURAL, FABRICATION & MATERIAL LOGIC","ADAPTIVE ORIGAMI: FABRICATION OF PNEUMATIC-ACTUATED ADAPTIVE FOLDING SYSTEM
","Karagozaiym Turganbek, Sebastian Wimmer, Martin Hutter, Alexander Karaivanov, Nicolaj Kirisits and Zeynep Aksöz-Balzar",155,,,12:55 - 13:05,[ 155 ],"ADAPTIVE ORIGAMI: FABRICATION OF PNEUMATIC-ACTUATED ADAPTIVE FOLDING SYSTEM
By Karagozaiym Turganbek, Sebastian Wimmer, Martin Hutter, Alexander Karaivanov, Nicolaj Kirisits and Zeynep Aksöz-Balzar",,"VIDEO! Sebastian Wimmer, Martin Hutter, Alexander Karaivanov, Nicolaj Kirisits and Zeynep Aksöz-Balzar (uni no support for travel, Karagozaiym Turganbek still paid for ticket already)"
Parallel Paper Presentations,7/3/25,13:05 - 13:15,P-C2,Parallel Presentations 2,"STRUCTURAL, FABRICATION & MATERIAL LOGIC","DEVELOPING STRESS-LINE RIBBED TIMBER SLABS: LAMINATING TIMBER RIBS WITH STAY-IN-PLACE FORMWORK
","Yiting Sun, Hua Chai, Tianyi Gao and Philip F. Yuan",221,,,13:05 - 13:15,[ 221 ],"DEVELOPING STRESS-LINE RIBBED TIMBER SLABS: LAMINATING TIMBER RIBS WITH STAY-IN-PLACE FORMWORK
By Yiting Sun, Hua Chai, Tianyi Gao and Philip F. Yuan",,
Parallel Paper Presentations,7/3/25,13:15 - 13:25,P-C2,Parallel Presentations 2,"STRUCTURAL, FABRICATION & MATERIAL LOGIC","A FABRICATION GRAMMAR FOR ROBOTIC SAND PACKING: FROM PRECISE ACTIONS TO EMERGENT SHAPES AND PATTERNS
",Kieron Cook and Benay Gursoy,339,,,13:15 - 13:25,[ 339 ],"A FABRICATION GRAMMAR FOR ROBOTIC SAND PACKING: FROM PRECISE ACTIONS TO EMERGENT SHAPES AND PATTERNS
By Kieron Cook and Benay Gursoy",,
Parallel Paper Presentations,7/3/25,13:25 - 13:35,P-B2,Parallel Presentations 2,"STRUCTURAL, FABRICATION & MATERIAL LOGIC","A Full-Process Digital Method for Recursive Geometric Structure and Machining Parameter Generation Targeting the Reutilization of Curved Timber
",,27,,,13:25 - 13:35,[27],"A Full-Process Digital Method for Recursive Geometric Structure and Machining Parameter Generation Targeting the Reutilization of Curved Timber
By Shenzhou Dai, Sihang Liu, Haojun Wang, Yulin Chen and Zixiong Lin",,
Parallel Paper Presentations,7/3/25,12:45 - 13:25,P-D2,Parallel Presentations 2,COMMUNITY & COLLECTIVE INTELLIGENCE,,"Shenzhou Dai, Sihang Liu, Haojun Wang, Yulin Chen and Zixiong Lin",,,,12:45 - 13:25,,COMMUNITY & COLLECTIVE INTELLIGENCE,Haotian Zhang?,
Parallel Paper Presentations,7/3/25,12:45 - 12:55,P-D2,Parallel Presentations 2,COMMUNITY & COLLECTIVE INTELLIGENCE,"GAMIFICATION AS A TOOL FOR ENHANCING PUBLIC ENGAGEMENT IN BUILT-ENVIRONMENT DESIGN
","Mehrun-Nisa Raja, Md Zishaan Khan, Halil Erhan and Tina Bahrouz",206,,,12:45 - 12:55,[ 206 ],"GAMIFICATION AS A TOOL FOR ENHANCING PUBLIC ENGAGEMENT IN BUILT-ENVIRONMENT DESIGN
By Mehrun-Nisa Raja, Md Zishaan Khan, Halil Erhan and Tina Bahrouz",,
Parallel Paper Presentations,7/3/25,12:55 - 13:05,P-D2,Parallel Presentations 2,COMMUNITY & COLLECTIVE INTELLIGENCE,"ARCHITECTURAL INTERFACES FOR SHARED SPACES – A MULTI-USER PERSPECTIVE ON INTELLIGENT ENVIRONMENT INTERACTIONS
","Ilayda Memis, Frank Petzold and Gerhard Schubert",74,,,12:55 - 13:05,[ 74 ],"ARCHITECTURAL INTERFACES FOR SHARED SPACES – A MULTI-USER PERSPECTIVE ON INTELLIGENT ENVIRONMENT INTERACTIONS
By Ilayda Memis, Frank Petzold and Gerhard Schubert",,
Parallel Paper Presentations,7/3/25,13:05 - 13:15,P-D2,Parallel Presentations 2,COMMUNITY & COLLECTIVE INTELLIGENCE,"CRAFTING A PARTICIPATORY APPROACH TOWARDS TRADITIONAL VIETNAMESE WEAVING AND DIGITAL COMPUTATION
",Hojung Kim,137,,,13:05 - 13:15,[ 137 ],"CRAFTING A PARTICIPATORY APPROACH TOWARDS TRADITIONAL VIETNAMESE WEAVING AND DIGITAL COMPUTATION
By Hojung Kim",,
Parallel Paper Presentations,7/3/25,13:15 - 13:25,P-D2,Parallel Presentations 2,COMMUNITY & COLLECTIVE INTELLIGENCE,"DESIGN QUALITY HOUSING ASSESSMENT METHODOLOGY: SUPPORTING HEURISTICS WITH EVIDENCE-BASED DECISION-MAKING
","Darcy Zelenko, Isabel Solin, Jean-Paul Rollo, Sahar Soltani, Camilo Cruz Gambardella and Duncan Maxwell",180,,,13:15 - 13:25,[ 180 ],"DESIGN QUALITY HOUSING ASSESSMENT METHODOLOGY: SUPPORTING HEURISTICS WITH EVIDENCE-BASED DECISION-MAKING
By Darcy Zelenko, Isabel Solin, Jean-Paul Rollo, Sahar Soltani, Camilo Cruz Gambardella and Duncan Maxwell",,
,7/3/25,13:35 - 13:55,,Break,,,,,13:35 - 13:55,Break,,,,,
Speaker-led Special Collection Paper Session,7/3/25,13:55 - 15:20,S-S3,Speaker-led Presentations 3,MORPHOLOGY ACROSS SCALES,,,,13:55 - 15:20,Speaker-led Presentations 3: MORPHOLOGY ACROSS SCALES,,,,Kam-Ming Mark Tam,
Speaker-led Special Collection Paper Session,7/3/25,13:55 - 14:00,S-S3,Speaker-led Presentations 3,MORPHOLOGY ACROSS SCALES,,,,,,13:55 - 14:00,,intro,,
Speaker-led Special Collection Paper Session,7/3/25,14:00 - 14:15,S-S3,Speaker-led Presentations 3,MORPHOLOGY ACROSS SCALES,"DISCOVERING PARETO-EFFICIENT URBAN NETWORKS THROUGH SHAPE GRAMMAR, MULTI-OBJECTIVE OPTIMISATION AND MACHINE LEARNING
",Yanran Shan and Kam-Ming Mark Tam,210,,,14:00 - 14:15,[ 210 ],"DISCOVERING PARETO-EFFICIENT URBAN NETWORKS THROUGH SHAPE GRAMMAR, MULTI-OBJECTIVE OPTIMISATION AND MACHINE LEARNING
By Yanran Shan and Kam-Ming Mark Tam",,
Speaker-led Special Collection Paper Session,7/3/25,14:15 - 14:30,S-S3,Speaker-led Presentations 3,MORPHOLOGY ACROSS SCALES,"ENCODING PERFORMANCE IN DIGITAL WEAVE DESIGN USING AI AND OPTIMISATION
",Xinru Li and Kam-Ming Mark Tam,440,,,14:15 - 14:30,[ 440 ],"ENCODING PERFORMANCE IN DIGITAL WEAVE DESIGN USING AI AND OPTIMISATION
By Xinru Li and Kam-Ming Mark Tam",,
Speaker-led Special Collection Paper Session,7/3/25,14:30 - 14:45,S-S3,Speaker-led Presentations 3,MORPHOLOGY ACROSS SCALES,"IMPROVING ARCHITECTURAL FORM CLASSIFICATION THROUGH SALINGAROS’ METRICS AND TOPOLOGICAL DATA ANALYSIS
",Chen-An Lee and June-Hao Hou,431,,,14:30 - 14:45,[ 431 ],"IMPROVING ARCHITECTURAL FORM CLASSIFICATION THROUGH SALINGAROS’ METRICS AND TOPOLOGICAL DATA ANALYSIS
By Chen-An Lee and June-Hao Hou",,
Speaker-led Special Collection Paper Session,7/3/25,14:45 - 15:00,S-S3,Speaker-led Presentations 3,MORPHOLOGY ACROSS SCALES,"GENERATIVE DESIGN FOR COASTAL RESILIENCE: A COMPUTATIONAL APPROACH TO LIVING SHORELINES
","Michael Dieffenthaller, Hallie Fischman, Christine Angelini and Karla Saldana Ochoa",314,,,14:45 - 15:00,[ 314 ],"GENERATIVE DESIGN FOR COASTAL RESILIENCE: A COMPUTATIONAL APPROACH TO LIVING SHORELINES
By Michael Dieffenthaller, Hallie Fischman, Christine Angelini and Karla Saldana Ochoa",,
Speaker-led Special Collection Paper Session,7/3/25,,S-S3,Speaker-led Presentations 3,MORPHOLOGY ACROSS SCALES,,,,,,15:00 - 15:20,,Discussion,,
,7/3/25,15:20 - 15:40,,Break,,,,,15:20 - 15:40,Break,,,,,
Special Collection Paper Session,7/3/25,15:40 - 16:25,S-3,Special Collection Presentations 3,URBAN PERCEPTIONS & PATTERNS II,,,,15:40 - 16:25,Special Collection Presentations 3: URBAN PERCEPTIONS & PATTERNS II,,,,Hongshan Guo,
Special Collection Paper Session,7/3/25,15:40 - 16:25,S-3,Special Collection Presentations 3,URBAN PERCEPTIONS & PATTERNS II,"URBAN VISUAL HETEROGENEITY: AN INTELLIGENT APPROACH TO EXAMINING TRAVEL PREFERENCES IN NANJING
",Zhixian Li,50,,,15:40 - 15:55,[ 50 ],"URBAN VISUAL HETEROGENEITY: AN INTELLIGENT APPROACH TO EXAMINING TRAVEL PREFERENCES IN NANJING
By Zhixian Li",,
Special Collection Paper Session,7/3/25,15:55 - 16:10,S-3,Special Collection Presentations 3,URBAN PERCEPTIONS & PATTERNS II,"REVEALING THE RELATIONSHIP BETWEEN SITE PLANNING STRATEGIES AND SENTIMENT THROUGH DEEP LEARNING: ENHANCING DATA-DRIVEN ARCHITECTURAL DESIGN STRATEGIES
","Qian Cao, Weijing Wang and Rudi Stouffs",198,,,15:55 - 16:10,[ 198 ],"REVEALING THE RELATIONSHIP BETWEEN SITE PLANNING STRATEGIES AND SENTIMENT THROUGH DEEP LEARNING: ENHANCING DATA-DRIVEN ARCHITECTURAL DESIGN STRATEGIES
By Qian Cao, Weijing Wang and Rudi Stouffs",,
Special Collection Paper Session,7/3/25,16:10 - 16:25,S-3,Special Collection Presentations 3,URBAN PERCEPTIONS & PATTERNS II,"HOW CHINESE IS CHINATOWN: MEASURING THE RELATIONSHIP BETWEEN GEOGRAPHIC AUTHENTICITY PERCEPTION AND STREETSCAPE FEATURES THROUGH MACHINE LEARNING
","Zixi Zhang, Wenjing Li and Waishan Qiu",250,,,16:10 - 16:25,[ 250 ],"HOW CHINESE IS CHINATOWN: MEASURING THE RELATIONSHIP BETWEEN GEOGRAPHIC AUTHENTICITY PERCEPTION AND STREETSCAPE FEATURES THROUGH MACHINE LEARNING
By Zixi Zhang, Wenjing Li and Waishan Qiu",,
,7/3/25,16:25 - 16:45,,,,,,,16:25 - 16:45,Break,,,,,
Special Collection Paper Session,7/3/25,16:45 - 17:45,S-4,Special Collection Presentations 4,"STRUCTURAL, FABRICATION & MATERIAL LOGIC",,,,16:45 - 17:45,"Special Collection Presentations 4: STRUCTURAL, FABRICATION & MATERIAL LOGIC",,,,Juan Jose Castellon ✔,
Special Collection Paper Session,7/3/25,1/0/00,S-4,Special Collection Presentations 4,"STRUCTURAL, FABRICATION & MATERIAL LOGIC","ROBOTIC FABRICATION AND IN-SITU 3D PRINTING FOR A NATURAL TIMBER-BAMBOO STRUCTURE
","Xinyue Xia, Haojie Fan, Shunuo Li, Huangyan Zheng, Haoyi Xu and Sining Wang",132,,,16:45 - 17:00,[ 132 ],"ROBOTIC FABRICATION AND IN-SITU 3D PRINTING FOR A NATURAL TIMBER-BAMBOO STRUCTURE
By Xinyue Xia, Haojie Fan, Shunuo Li, Huangyan Zheng, Haoyi Xu and Sining Wang",,
Special Collection Paper Session,7/3/25,17:00 - 17:15,S-4,Special Collection Presentations 4,"STRUCTURAL, FABRICATION & MATERIAL LOGIC","INVESTIGATING SELF-SHAPING FIBRE COMPOSITES: TUNNING CURING PARAMETERS TO OPTIMISE RESULTING CURVATURE
","Ariel Yakobi, Eran Sharon and Arielle Blonder",193,,,17:00 - 17:15,[ 193 ],"INVESTIGATING SELF-SHAPING FIBRE COMPOSITES: TUNNING CURING PARAMETERS TO OPTIMISE RESULTING CURVATURE
By Ariel Yakobi, Eran Sharon and Arielle Blonder",,
Special Collection Paper Session,7/3/25,17:15 - 17:30,S-4,Special Collection Presentations 4,"STRUCTURAL, FABRICATION & MATERIAL LOGIC","PREDICTING STRESS-STRAIN CHARACTERISTICS OF 3D PRINTED BCC LATTICE STRUCTURES WITH VARIABLE GRID GRADATION USING NEURAL NETWORKS
","Mahdi Jandaghimeibodi, Mostafa Hosseini Vajari, Morteza Behzadnasab and Soheil Dariushi",386,,,17:15 - 17:30,[ 386 ],"PREDICTING STRESS-STRAIN CHARACTERISTICS OF 3D PRINTED BCC LATTICE STRUCTURES WITH VARIABLE GRID GRADATION USING NEURAL NETWORKS
By Mahdi Jandaghimeibodi, Mostafa Hosseini Vajari, Morteza Behzadnasab and Soheil Dariushi",,
Special Collection Paper Session,7/3/25,17:30 - 17:45,S-4,Special Collection Presentations 4,"STRUCTURAL, FABRICATION & MATERIAL LOGIC","CNT FIBER-WOVEN PROTOTYPES: ZERO WEIGHT, INFINITE SPAN
",Juan Jose Castellon,178,,,17:30 - 17:45,[ 178 ],"CNT FIBER-WOVEN PROTOTYPES: ZERO WEIGHT, INFINITE SPAN
By Juan Jose Castellon",,"Juan will be landing in Hong Kong on Wednesday July 2 at 4:40 pm. so, unfortunately, I will miss the first day of the conference"
Catalytic Interfaces,7/3/25,17:45 - 19:16,CI,Catalytic Interfaces - Work Presentations,,,,,17:45 - 19:16,Catalytic Interfaces - Work Session,,,,,
,,,,,,,,,,,,,,,
,7/4/25,,,,,,,,Friday 4 July,,,,,,
,7/4/25,8:30 - 9:00,,Registration & Opening,,,,,8:30 - 9:00,Registration,,,,,
Keynote,7/4/25,9:00 - 10:00,,Keynote 4: DANIELA MITTERBERGER,,,,,9:00 - 10:00,Keynote 4: DANIELA MITTERBERGER,,,,,
,7/4/25,10:00 - 10:10,,Break,,,,,10:00 - 10:10,Break,,,,,
Catalytic Interfaces,7/4/25,10:10 - 10:30,CI,Catalytic Interfaces - Check In,,,,,10:10 - 10:30,Catalytic Interfaces - Check In,,,,,
Speaker-led Special Collection Paper Session,7/4/25,10:30 - 11:40,S-S4,Speaker-led Presentations 4,PROMPTING ARCHITECTURE,,,,10:30 - 11:40,Speaker-led Presentations 4: PROMPTING ARCHITECTURE,,,,Christiane Herr✔,Christiane
Speaker-led Special Collection Paper Session,7/4/25,10:30 - 10:35,S-S4,Speaker-led Presentations 4,PROMPTING ARCHITECTURE,,,,,,10:30 - 10:35,,intro,,
Speaker-led Special Collection Paper Session,7/4/25,10:35 - 10:50,S-S4,Speaker-led Presentations 4,PROMPTING ARCHITECTURE,"INTERACTIVE BIM MODELLING ASSISTANT WITH MULTI-AGENT LLM
","Chao Tang, Kam-Ming Mark Tam and Christiane Margerita Herr",444,,,10:35 - 10:50,[ 444 ],"INTERACTIVE BIM MODELLING ASSISTANT WITH MULTI-AGENT LLM
By Chao Tang, Kam-Ming Mark Tam and Christiane Margerita Herr",,
Speaker-led Special Collection Paper Session,7/4/25,10:50 - 11:05,S-S4,Speaker-led Presentations 4,PROMPTING ARCHITECTURE,"TEXT-TO-SIHEYUAN: LLM-BASED MULTI-AGENT PROCEDURAL GENERATION SYSTEM OF VERNACULAR ARCHITECTURE IN BEIJING
","Zixi Zhang, Wenshuo Zhang and Runjia Tian",403,,,10:50 - 11:05,[ 403 ],"TEXT-TO-SIHEYUAN: LLM-BASED MULTI-AGENT PROCEDURAL GENERATION SYSTEM OF VERNACULAR ARCHITECTURE IN BEIJING
By Zixi Zhang, Wenshuo Zhang and Runjia Tian",,
Speaker-led Special Collection Paper Session,7/4/25,11:05 - 11:20,S-S4,Speaker-led Presentations 4,PROMPTING ARCHITECTURE,"PROMPT-TO-PRODUCTION: AI-DRIVEN DESIGN AND ROBOTIC FABRICATION FOR RAPIDLY RECONFIGURABLE CIRCULAR TIMBER ASSEMBLIES
","Nils Opgenorth, Zhenxiang Huang, Jonas Maria Mertens, Hans Jakob Wagner and Achim Menges",253,,,11:05 - 11:20,[ 253 ],"PROMPT-TO-PRODUCTION: AI-DRIVEN DESIGN AND ROBOTIC FABRICATION FOR RAPIDLY RECONFIGURABLE CIRCULAR TIMBER ASSEMBLIES
By Nils Opgenorth, Zhenxiang Huang, Jonas Maria Mertens, Hans Jakob Wagner and Achim Menges",,
Speaker-led Special Collection Paper Session,7/4/25,11:20 - 11:40,S-S4,Speaker-led Presentations 4,PROMPTING ARCHITECTURE,,,,,,11:20 - 11:40,,Discussion,,
,7/4/25,11:40 - 12:00,,Break,,,,,11:40 - 12:00,Break,,,,,
Parallel Paper Presentations,7/4/25,12:00 - 12:50,P-A3,Parallel Presentations 3,,,,,12:00 - 12:50,Parallel Presentations 3,,,,,Immanuel Koh? / Hao Zheng? / Thomas Wortmann?
Parallel Paper Presentations,7/4/25,12:00 - 12:40,P-A3,Parallel Presentations 3,EVALUATING & EXPANDING AI,,,,,,12:00 - 12:40,,EVALUATING & EXPANDING AI,,Immanuel Koh? / Hao Zheng? / Thomas Wortmann?
Parallel Paper Presentations,7/4/25,12:00 - 12:10,P-A3,Parallel Presentations 3,EVALUATING & EXPANDING AI,"BRIDGING THE GAP: ENHANCING AI-GENERATED FLOOR PLANS WITH MULTI-MODAL DATA INTEGRATION
","Martin Bielik, Sven Schneider, Luyang Zhang and Milan Valasek",135,,,12:00 - 12:10,[ 135 ],"BRIDGING THE GAP: ENHANCING AI-GENERATED FLOOR PLANS WITH MULTI-MODAL DATA INTEGRATION
By Martin Bielik, Sven Schneider, Luyang Zhang and Milan Valasek",Hongshan Guo,
Parallel Paper Presentations,7/4/25,12:10 - 12:20 ,P-A3,Parallel Presentations 3,EVALUATING & EXPANDING AI,"AI2D-ARCHITECTURE: A BENCHMARK FOR EVALUATING MULTIMODAL LARGE LANGUAGE MODELS IN ARCHITECTURE
",Xuyou Yang and Immanuel Koh,80,,,12:10 - 12:20 ,[ 80 ],"AI2D-ARCHITECTURE: A BENCHMARK FOR EVALUATING MULTIMODAL LARGE LANGUAGE MODELS IN ARCHITECTURE
By Xuyou Yang and Immanuel Koh",,
Parallel Paper Presentations,7/4/25,12:20 - 12:30,P-A3,Parallel Presentations 3,EVALUATING & EXPANDING AI,"COMPARING DIFFERENT BUILDING REPRESENTATIONS FOR READABILITY BY LARGE LANGUAGE MODELS
","Guy Austern, Moria Schwarz and Boaz Sternfeld",145,,,12:20 - 12:30,[ 145 ],"COMPARING DIFFERENT BUILDING REPRESENTATIONS FOR READABILITY BY LARGE LANGUAGE MODELS
By Guy Austern, Moria Schwarz and Boaz Sternfeld",,"VIDEO! #CO 145 Guy Austern, Moria Schwarz and Boaz Sternfeld (Guy Austern at hospital, paid, no other authors can replace him)"
Parallel Paper Presentations,7/4/25,12:30 - 12:40,P-A3,Parallel Presentations 3,EVALUATING & EXPANDING AI,"INTEGRATING REGULATORY COMPLIANCE IN AI-ASSISTED ARCHITECTURAL DESIGN
","Tinghao Feng, Yulu Zhang, Xinhui Xu, Zhengcheng He, Wenjing Li and Philip F. Yuan",19,,,12:30 - 12:40,[ 19 ],"INTEGRATING REGULATORY COMPLIANCE IN AI-ASSISTED ARCHITECTURAL DESIGN
By Tinghao Feng, Yulu Zhang, Xinhui Xu, Zhengcheng He, Wenjing Li and Philip F. Yuan",,
,,12:40 - 12:50,P-A3,Parallel Presentations 3,EVALUATING & EXPANDING AI,"Augmenting IFC-Based BIM Models for Graph Neural Network Training of Non-Orthogonal Spatial Typologies: A Context-Informed Design Methodology
","Matthias Hornung, Markus Renner, Diellza Elshani, Mathias Niepert and Thomas Wortmann",[ 457 ],,,12:40 - 12:50,[ 457 ],"Augmenting IFC-Based BIM Models for Graph Neural Network Training of Non-Orthogonal Spatial Typologies: A Context-Informed Design Methodology
By Matthias Hornung, Markus Renner, Diellza Elshani, Mathias Niepert and Thomas Wortmann",,
Parallel Paper Presentations,7/4/25,12:00 - 12:50,P-B3,Parallel Presentations 3,IMMERSIVE LEARNING & DESIGN,,,,,,12:00 - 12:50,,IMMERSIVE LEARNING & DESIGN,Garvin Goepel,
Parallel Paper Presentations,7/4/25,12:00 - 12:10,P-B3,Parallel Presentations 3,IMMERSIVE LEARNING & DESIGN,"CAN AI-BASED SUGGESTIONS SUPPORT DESIGNING IN IMMERSIVE ENVIRONMENTS?
","Tai Shobuya, Yuval Kahlon, Yukiharu Iioka and Haruyuki Fujii",68,,,12:00 - 12:10,[ 68 ],"CAN AI-BASED SUGGESTIONS SUPPORT DESIGNING IN IMMERSIVE ENVIRONMENTS?
By Tai Shobuya, Yuval Kahlon, Yukiharu Iioka and Haruyuki Fujii",,
Parallel Paper Presentations,7/4/25,12:10 - 12:20 ,P-B3,Parallel Presentations 3,IMMERSIVE LEARNING & DESIGN,"AUGMENTED SCALE PERCEPTION: EXPLORING A FULL-SCALE ARCHITECTURAL EDUCATION APPROACH BASED ON MAR
","Han Jin, Hao Wang and Ruifeng Tian",276,,,12:10 - 12:20 ,[ 276 ],"AUGMENTED SCALE PERCEPTION: EXPLORING A FULL-SCALE ARCHITECTURAL EDUCATION APPROACH BASED ON MAR
By Han Jin, Hao Wang and Ruifeng Tian",,
Parallel Paper Presentations,7/4/25,12:20 - 12:30,P-B3,Parallel Presentations 3,IMMERSIVE LEARNING & DESIGN,"VIRTUAL SPACE DESIGN THROUGH PHYSICAL OBJECT RECOGNITION, HOLOLENS-BASED FURNITURE TRACKING AND AI-DRIVEN REAL-TIME LAYOUT GENERATION
","Wenqian Yang, Anton Savov and Benjamin Dillenguber",379,,,12:20 - 12:30,[ 379 ],"VIRTUAL SPACE DESIGN THROUGH PHYSICAL OBJECT RECOGNITION, HOLOLENS-BASED FURNITURE TRACKING AND AI-DRIVEN REAL-TIME LAYOUT GENERATION
By Wenqian Yang, Anton Savov and Benjamin Dillenguber",,
Parallel Paper Presentations,7/4/25,12:30 - 12:40,P-B3,Parallel Presentations 3,IMMERSIVE LEARNING & DESIGN,"A FRAMEWORK FOR VIRTUAL WINDOWS TO ENHANCE INDOOR SPATIAL EXPERIENCE IN EXTENDED REALITY
","Hyeokjin Choi, Jun Seo Lee, Jae Yeon Shin and Seung Hyun Cha",428,,,12:30 - 12:40,[ 428 ],"A FRAMEWORK FOR VIRTUAL WINDOWS TO ENHANCE INDOOR SPATIAL EXPERIENCE IN EXTENDED REALITY
By Hyeokjin Choi, Jun Seo Lee, Jae Yeon Shin and Seung Hyun Cha",,
